Key,Value
Ist HOUSE,"['accidents', 'activity undertaken', 'adi', 'advantages', 'all things, the seeds of', 'amusements', 'angular', 'appearance, general', 'aries', 'ascendant', 'aspiration', 'attractiveness of the', 'face', 'barley', 'barren', 'beginning of an event', 'beginnings', 'being of the person', 'birth potential', 'body', 'brain', 'brothers of friends', 'capacity to enjoy', 'children of religious', 'folks', 'color', 'complexion', 'constitution', 'courage', 'creative urge', 'death of servants', 'deham', 'destiny of', 'pleasure/pain', 'determination', 'dignity1st house', 'dignity of mother', 'dispositions, natural', 'east', 'eastern horizon', 'energetically', 'participating', 'energy, outgoing', 'events of journeys', 'experience,', 'storehouse of', 'face', 'face, attractiveness', 'fate of hazardous', 'enterprises', 'fiery', 'form', 'friends to the', 'brothers of querist', 'gains, to younger', 'brother', 'gains, young, bro.', 'friends', 'general appearance', 'general state of health', 'general structure of', 'life', 'general well being', 'gold', 'hair and its texture', 'happiness', 'head', 'health, general', 'height', 'honor', 'identity', 'imagination, initialimpact of the', 'personality', 'initial imagination', 'inner fire', 'inspiration', 'journey', 'kendra', 'knower of the field', 'kshetrjan', 'lagna', 'lagnesh', 'life in a hostel during', 'study', 'lifes general structure', 'lifes start', 'longevity', 'mars', 'masculine', 'mode of expression', 'movable', 'nature', 'nature of the person', 'ones disposition', 'ones tendencies', 'outgoing energy', 'permission for other', 'qualities', 'personality', 'personality impact', 'persons nature', 'persons sum total', 'qualities', 'physical body', 'physical stature', 'physical vehicle', 'pleasure/pain', '177', 'destined seeds of other things upper part of the face', 'pleasures self vehicle, the physical', 'positive shape body', 'possibility of his short ascension vigor', 'achieving start in life virtues', 'potential stature, physical vitality', 'presence of status voyages', 'everything storehouse of wealth of private', 'previous lives wisdom experience enemies', 'profits struggle for life well being', 'pros studying in a hostel wheat', 'querist taking the initiative wisdom', 'rajasic propensities tendencies, natural wool', 'resin textiles younger brother &', 'rupam udyam his friends', '178']"
2nd HOUSE,"['accumulated wealth', 'all traits for querist', 'bank position', 'benefic', 'blindness', 'blood-ties', 'bonds', 'boyhood', 'brother, younger,', 'loss esto', 'brothers', 'business', 'bythos', 'cheeks', 'childhood', 'children', 'chin', 'creative potential', 'credit', 'cultural roots', 'damage', 'death', 'death period', 'depth', 'direction south', 'disease to father', 'documents', 'early age', 'earthy', 'economical', 'education', 'enemies, hidden,', 'friends', 'enemies, non hidden', 'etc.', 'ethnicitys2nd HOUSE', 'extravagant', 'eye sight', 'eye, right', 'eyes', 'face', 'faith in sacred', 'traditions', 'family', 'family members', 'family relations', 'family,', 'understandings', 'father, diseases to', 'fathers friends', 'fathers of friends', 'feminine', 'fixed', 'food', 'fortune', 'friends and servants', 'friends fathers &', 'grandsons', 'friends of father', 'gain', 'gain or loss', 'gain, prop, elder bro.', 'gain, vehicle, elder', 'bro.', 'gems', 'grandfather', 'grandmother', 'grandsons of friends', 'honor of children', 'imagination', 'inheritance', 'inheritancejewelry', 'jewels', 'kings sons', 'law suits', 'legal troubles', 'loan', 'long journey to uncle', 'loss', 'loss to younger bro.', 'maraka sthana', 'maternal uncle,', 'journeys', 'memory', 'metals', 'misfortune', 'money matters', 'music', 'nails', 'nature of querist', 'negative', 'nose', 'observational power', 'om', 'one', 'open or public', 'enemies', 'patience of mind', 'possession of value', 'possessions', 'poverty', 'power and resources', 'power of observation', 'pranava', 'precious stones', 'private enemies of', 'bros.', '179', 'profession of children', 'profit', 'profit', 'public enemies', 'querists traits', 'resources and power', 'riches', 'right eye', 'ruling power', 'sanyas', 'second marriage', 'secret enemies', 'cohorts', 'securities and shares', 'self earned wealth', 'semifruitfulservants and friends', 'shares and securities', 'short ascension', 'sight', 'sisters', 'sons of kings', 'south', 'speculation', 'speech', 'stones, precious', 'succeedent house', 'suits, legal', 'taurus', 'teeth', 'tongue', 'tradetraits of querist', 'uncle, maternal,', 'journey', 'understanding with', 'family', 'venus', 'vision', 'wealth', 'wealth and', 'well wishers of father', 'winning', 'worldly attainments', 'worldly attainments', 'younger brother, loss', 'to', '180']"
3rd HOUSE,"['ability', 'ability to cope', 'accounting', 'agreements, signing', 'of', 'airy', 'acquaintances, casual', 'arms', 'asthma', 'bad thoughts', 'barren', 'birth of children to', 'eld. bro/sis', 'books', 'bookstalls', 'breathing exercises', 'brother, younger', 'successes', 'brother, younger,', 'health of', 'brothers, younger', 'cadent', 'car rides', 'carols', 'carrying tales', 'casual acquaintances', 'challenges, daily,', 'ability to cope', 'change', 'change of residence', 'chest', 'children, birth of', 'old. bro./sis.', 'churches', 'clerks', 'collar bone3rd HOUSE', 'collaterals', 'colleagues', 'common', 'communicadons', 'consumption', 'contracts, signing of', 'cope, ability to', 'correspondence', 'cough', 'courage', 'cousins', 'daily challenges,', 'ability to cope', 'deal with it ability7', 'death', 'death of parents', 'difficulties in day to', 'day', 'dreams', 'education, higher', 'enemies of religious', 'persons', 'enemies, private,', 'fathers of', 'energy', 'enormous strength', 'enthusiasm', 'epistles', 'fathers of private', 'enemies', 'female servants', 'fiery', 'firmness', 'friends of children', 'friends, casual', 'geminiglands, thyroid', 'hands', 'health of younger', 'brother', 'heroism', 'higher education', 'hills', 'houses, change of', 'inclination to study', 'intellect', 'intelligence', 'journalist', 'journeys, short', 'lake and river', 'lessons learned here', 'library7', 'litigations, signing', 'malefic', 'masculine', 'maternal uncle,', 'position of', 'mathematics', 'memory', 'mental inclination', 'mental strength', 'mercury', 'messages', 'mind', 'mountains', 'mutations', 'neighbors', 'nervous system', 'obstructions in day to', 'day', 'ontological', 'tendencies', '181', 'papers', 'partition of property', 'patriotism', 'philosophical', 'tendencies', 'positive', 'post office', 'posts', 'pranayama', 'preaching', 'private enemies of the', 'mother', 'private enemies,', 'fathers of', 'property, partitioning', 'prowess', 'publications', 'radio', 'rail', 'railways', 'research', 'residences, change of', 'ribs, upper', 'right earrumors', 'short journeys', 'scapula', 'sects', 'servants', 'shops', 'short air travels', 'short journeys', 'short road travels', 'short travels', 'shoulders', 'siblings', 'sickness of kings', 'signing contracts or', 'agreements', 'sisters, younger', 'sons of friends', 'spiritual teachings', 'steadiness', 'strength, enormous', 'strength, mental', 'study, inclination to', 'telegraphs', 'telephonetelevision', 'tendencies,', 'philosophical', 'throat', 'thyroid glands', 'trade of servants', 'transition', 'travels', 'travels, short', 'uncle, maternal,', 'position of', 'upper ribs', 'valor', 'valor', 'west', 'wireless', 'wisdom', 'writings', 'yogic meditation, start', 'of', 'younger brothers or', 'sisters', '182']"
4th HOUSE,"['agriculture', 'ambitions, source of', 'antiquities', 'aspirations, source of', 'biological mother', 'birth environment', 'breast', 'buffalo', 'buildings', 'career, source of', 'castles', 'chest', 'chest diseases', 'children of secret', 'enemies', 'cities', 'clothes', 'conclusion', 'conditions of life- old', 'age', 'cow', 'crevices', 'crops', 'curious', 'danger to father', 'dead mens goods', 'dead person, what', 'befalls', 'death of religious', 'persons', 'diaphragm', 'diseases of the chest', 'domestic', 'environments', 'elbow joints', 'emotion4th HOUSE', 'emotional nature', 'end of undertakings', 'enemies to elder', 'brother', 'estates', 'false allegation', 'family support one', 'gets', 'fields', 'fortunes of servants', 'friends of servants', 'fruitful', 'gardens', 'happiness', 'health of mother', 'heart', 'hidden things', 'hidden treasure', 'home', 'house (immovable)', 'immovable property', 'inclination to study', 'inheritance', 'intelligence', 'karmic past', 'land', 'landed property', 'learning', 'lease', 'loss of ones dwelling', 'loss to children', 'lungs', 'major arteries and', 'medicines', 'milk', 'minesmonuments', 'mother', 'ones home', 'orchards', 'ornaments', 'past karma', 'pastures', 'pavilion', 'peace of mind.', 'permanent', 'possessions', 'private affairs', 'private enemies of', 'children', 'private life', 'produce of agriculture', 'profession of partner', 'profession, source of', 'property, immovable', 'public standing,', 'source of', 'religion of the absent', 'religious persons', 'death', 'residence', 'reveals the past', 'ribs', 'rivers', 'sanchita karma', 'scooter', 'secret life', 'secrets', 'sickness of friends', 'social status, source', 'of', 'stomach', '183', 'study, inclination to', 'substance of brethren', 'tenant', 'tent', 'termination', 'tractorstrade of enemies', 'transport facilities', 'treasure, hidden', 'treasures', 'treasures under', 'groundundertakings, end of', 'vehicles', 'water', 'wealth of brothers', 'wells', '184']"
5th HOUSE,"['abdomen', 'abortions', 'achievements, degree', 'of', 'adulterousness', 'adultery', 'ambassadors', 'amusements', 'amusements,', 'legal/illegal', 'artistic talents', 'arts and crafts', 'attractions', 'auspicious house', 'authorship', 'bank position of', 'mother', 'banquet', 'barren', 'belly', 'betting', 'brethren, their', 'brothers', 'brother, older, his', 'marriage', 'brothers of brethren', 'cards', 'children', 'childrens health', 'cinema', 'competitive activities', 'compositions, literary', 'contacts with', 'strangers', 'contracts with', 'foreigners5th HOUSE', 'courtship', 'courtship, acceptable', 'types', 'crafts and arts', 'creativity', 'creativity, inner', 'crosswords', 'dance', 'death of kings', 'debauchery', 'deep learning', 'degree of', 'achievements', 'drama', 'east', 'education', 'enemies of friends', 'enormous riches', 'expression of new', 'ideas', 'expressions from past', 'karma', 'fathers high study', 'festival occasions', 'fiery', 'first conception', 'fixed', 'foreigners, contracts', 'with', 'friends of the', 'querent’s enemies', 'gall bladder', 'gambling', 'games', 'games of chance', 'good deeds of pastbirth', 'good morals', 'high learning and', 'wisdom', 'high study of father', 'horse racing cards', 'house of amusements', 'hymns', 'illegal relations', 'illegal unions', 'inclinations', 'inner creativity', 'intellect', 'intelligence', 'intestines', 'intuitive perception', 'of the future', 'journeys, long, of the', 'religious', 'karma, previous good', 'kidnap', 'king, death of', 'knowledge of the', 'occult', 'lady love', 'laws, traditional', 'learning, deep', 'legacies, illegal', 'legal or illegal', 'amusements', 'leo', 'life, new', 'literary compositions', 'liver', 'long ascension', 'long journey of the', '185', 'religious intuitive sadhana', 'long journeys by pilgrimage shares', 'father places of sickness of private', 'lottery entertainments enemies', 'love affairs pleasures -legal/illegal sister, older, her', 'love affairs positive marriage', 'mastery or dignity of practices, spiritual social inclinations', 'absent pregnancy social intercourse', 'malefic prior and after socially acceptable', 'management ability marriage romances courtship', 'mantras private enemies of society', 'marriage of elder servants speculations', 'brother procreation spiritual practices', 'masculine profits to opponents spleen', 'mental creation progeny sports', 'mind, religious side of racing cards stock exchange', 'mothers wealth rape stomach', 'music recreation strangers, contracts', 'musical instruments recreations with', 'new life relations, illegal tantra', 'occult knowledge religion theaters', 'older brothers religious mindedness traditional laws', 'marriage religious persons long uncle, maternal,', 'older sisters marriage journeys change in pos.', 'partnerships, illegal riches unfruitful', 'past life, good karma romance unions, illegal', 'of romance. wisdom', 'perception of future, before/after marriage', '186']"
6th HOUSE,"['actions, diabolical', 'actions, obstacles to', 'animal pets', 'annoyance', 'anguish, intense', 'anus', 'aunts', 'bad actions', 'bad habits', 'bank drafts', 'banker', 'barren', 'beasts not ridden', 'benefic', 'borrowing', 'bro/sis, younger,', 'their buildings', 'buildings by younger.', 'bro/sis', 'builds serving', 'strength', 'calamity', 'cadent house', 'cattle', 'chances and life in', 'foreign place', 'children, first, their', 'wealth', 'clothing', 'common', 'competition', 'conditions of the', 'servants', 'death of friends', 'debits', 'debts6th HOUSE', 'dependents', 'diabolical deeds', 'diabetics', 'difficulties', 'disease, duration of', 'diseases', 'disharmony with or', 'separation from the', 'partner.', 'dress', 'dual', 'duration of disease', 'earthy', 'employees', 'enemies', 'enemies of enemies', 'enemies, secret', 'enmity', 'servitude', 'evil', 'faithfulness of the', 'servants', 'fear', 'fear from thieves', 'fear of death', 'feminine', 'food', 'foreign life changes', 'friends, their death', 'goats', 'health, ill', 'however', 'ill health', 'illness, length of', 'insanity', 'intense anguishinvestment of', 'partners', 'journeys to the', 'mother', 'kidney', 'large intestines', 'litigation', 'litigations', 'long ascension', 'long journeys', 'loss of spouse', 'loss to partner', 'losses to partners', 'losses to spouse', 'magic', 'dignities being', 'maternal uncle', 'mental worry', 'mercury', 'miserliness', 'name fame', 'negative', 'nursing', 'nursing', 'obstacles in', 'undertakings', 'opponents', 'opposing force', 'opposition of various', 'kinds', 'partners, their losses', 'patient, treatment of', 'pet animals', 'private enemies', 'purchase/sales of', 'vehicles', '187', 'purchases by partners', 'resistance', 'results', 'sanitation', 'secret enemies', 'semifruitful house', 'servants', 'servants, conditions', 'of', 'servants, faithfulness', 'of', 'service', 'servitude', 'sheepsickness', 'south', 'stewards', 'strength by', 'overcoming', 'depression', 'struggle', 'struggle-experience', 'subordinates', 'substance of children', 'superstition', 'tenants', 'theft', 'thieves, fear oftreatment of patient', 'uncle, maternal', 'uncles', 'undertakings,', 'obstacles in', 'vehicles, purchase', 'and sale of', 'virgo', 'worry', 'wound', 'younger bros/sis', 'buildings', '188']"
7th HOUSE,"['7th HOUSE', 'acquisition of beautiful', 'clothes', 'acquisitions of royal', 'favor', 'agreements', 'airy', 'associates and friends', 'of father', 'attachments, ones', 'beautiful clothes', 'beautiful clothes,', 'getting', 'bondage, legal', 'break in the journey', 'brothers, elder, high', 'education', 'brothers, elder, religion', 'business', 'business partnerships', 'business speculations', 'buying and selling', 'change of residence', 'child, second one', 'children of the brothers', 'clothes, beautiful,', 'getting', 'cohabitation', 'competitors', 'conjugal life', 'contentions', 'contracts', 'contrariences', 'control of lustful', 'people', 'countries, other,', 'reputation', 'danger to life', 'danger to longevity', 'deals, publicdeath of enemies', 'death of private', 'enemies', 'death, house of', 'decorations', 'depression', 'dissipation of seminal', 'fluid', 'divorce', 'domestic happiness', 'dowry', 'dyuta (gambling)', 'earthly ties', 'elder brothers high', 'education', 'elder brothers religion', 'election, rivals', 'encounter with thieves', 'ending', 'enemies, death of', 'enjoyment of food', 'enmity', 'expression of bodily', 'urges', 'field of experience', 'field of ones', 'experience', 'fines', 'fines', 'flowers and perfumes', 'fortune of religious', 'persons', 'friends of brothers', 'friends of religious', 'persons', 'friends, high education', 'of', 'friends, long journeys', 'offriends, religion of', 'fruitful', 'getting beautiful clothes', 'govt, favor, acquisition', 'of', 'groin', 'gross materiality', 'honor and credit of', 'govt.', 'house, change of', 'husband', 'immovable property,', 'mothers', 'influence in other', 'countries', 'kalatra sthanam', 'kama (desire and', 'passion)', 'kendra house', 'law suits', 'laws', 'legal bondage', 'legal union', 'libra', 'life, danger to', 'life, length, danger to', 'litigations', 'loins', 'loka (world)', 'long journeys of elder', 'brothers', 'long journeys of friends', 'long life, danger to', 'longevity, danger to', 'losing semen', 'love life', 'lumber', 'mada (pride)', 'marakasthana (house of', '189', 'KARA K AS', 'death)', 'marga (way the path)', 'marital relations', 'marital relationship', 'masculine', 'missing persons', 'mixing in society', 'mothers immovable', 'property-', 'movable', 'nuptials', 'ones attachments', 'ones life partner', 'opposite polarity to the', 'self', 'opposites', 'oppositions', 'oudaws', 'overseas reputation', 'partner', 'partner in business', 'partners.', 'passing semen', 'passion', 'perfumes and flowers', 'persons, missing', 'pickpockets', 'pineal glands', 'place of thief', 'place of wife', 'pleas', 'point where the sun', 'sets', 'positiveprivate dealings of the', 'absent', 'private dealings of the', 'enemies', 'private parts', 'professional', 'advancement', 'property, mothers', 'immovable', 'property-, recovery of', 'lost/stolen', 'prostrate glands', 'public deals', 'recovery of lost', 'property-', 'recovery of stolen', 'property', 'reflections', 'relations, marital', 'religion of elder', 'brothers', 'religious persons,', 'fortunes of', 'religious persons,', 'friends of', 'reputation in other', 'countries', 'reputation overseas', 'residence, change of', 'rivals in election', 'royal citadel', 'royal favor', 'royal favor, acquisition', 'ofsecond child', 'selling and buying', 'semen, losing', 'sexual enjoyment', 'sexual life', 'sisters of brothers', 'social relationships', 'sons of friends', 'soul must rise out of', 'speculations in business', 'spouse', 'strife', 'substance of servants', 'suits, law', 'sun sets here,', 'significant', 'thief', 'thief, place of', 'thieves, encounter with', 'things opposed', 'ties, earthly-', 'trade', 'travelers', 'union', 'union, legal', 'uterus', 'venus', 'vertebrae', 'victory over enemies', 'war', 'wealth of sen-ants', 'west', 'wife', '190']"
8th HOUSE,"['8th HOUSE', 'accidents', 'adversary', 'afflictions,', 'psychological', 'all things hidden', 'allergies, serious', 'anxiety7, mental', 'body deformed, liable', 'to', 'bones', 'brethren of servants', 'chakras', 'children, their mother', 'coma, death', 'after/ during', 'concealed wealth', 'corruption', 'crossing of rivers', 'death', 'death by drowning', 'death by drowning', '(watery sign)', 'death by electric', 'shock', 'death by gas (watery', 'sign)', 'death by lightning', 'death by overdose of', 'drugs', 'death by poison', '(watery sign)', 'death caused by', 'explosion', 'death due to', 'incurable diseases', 'death may also becaused by gas.', 'drowning, poison etc.', 'if Bth-watery sign', 'death, mode of', 'defeat', 'deformed body, liable', 'to', 'diagnosis, diseases', 'defy', 'dying after coma', 'dying after state of', 'shock', 'difficulties of journey', 'dignity7 and honor of', 'friends', 'disappointments', 'disease of anus', 'diseases may defy', 'diagnosis', 'diseases, incurable,', 'death by', 'doctors', 'dowry of wife', 'drowning', 'drowning, death by', '(watery sign)', 'drugs, overdose', 'electrocution', 'enemies, private, their', 'religion', 'enemies, public, their', 'strength', 'evil house', 'explosion, death by', 'external genitalia', 'femininefire', 'fixed', 'friends', 'friends, their honor', 'fruitful', 'gain / los s -market', 'fluctuations', 'gas, death by (watery', 'sign)', 'genitals, external', 'gratuity7', 'hidden matters', 'hidden organs', 'ill reputation', 'impediments', 'imprisonments', 'inheritance of dead', 'inheritance', 'insult', 'insurance', 'journey, difficulties in', 'journeys of the', 'private enemies', 'keeping secrets', 'knowledge of deep', 'nature', 'kundalini shakti', 'labor', 'legacies', 'legacies', 'liable to bodily', 'deformities', 'lightning, death by', 'longevity', 'loss / gain-market', 'fluctuations', '191', 'lotteries', 'market fluctuations,', 'gain or loss by', 'mars', 'may die due to wrong', 'treatment', 'medical officers', 'medicine, wrong', 'causing death', 'mental pain', 'mental sufferings', 'miserable persons', 'miserliness', 'mode of death', 'money of public', 'enemies', 'mother of children', 'nature, hidden laws,', 'knowledge of', 'negative', 'north', 'obstacles', 'officers, medical', 'organs, hidden', 'overdose of drugs', 'pelvic', 'pension', 'persons wretched and', 'miserable', 'poison , death by', '(water)’ sign)', 'private enemies ofreligious person', 'privation', 'psychological', 'afflictions', 'public enemies, their', 'money', 'querent’s state of', 'wealth at death', 'rectum', 'religion of the private', 'enemies', 'religion, of private', 'enemies', 'religious person,', 'private enemies of', 'reputation, bad', 'rivers, crossing', 'robbery', 's means', 'scandal', 'scorpio', 'scrotum', 'secrecy', 'seminal vesicles', 'serious diseases', 'servants, their', 'brethren', 'shock, death', 'after/during', 'sickness of bro/sis', 'slaughter', 'sorrowsorrows', 'spell of life', 'spouses dowry', 'stock market-gain and', 'loss by', 'strength of public', 'enemies', 'strife', 'succeedent house', 'success', 'suffering persons', 'suffering, mental', 'suicide', 'surgeons', 'testicles', 'the rectum and its', 'diseases', 'treatment, wrong', 'causing death', 'troubles,', 'psychological', 'unseen to others', 'watery', 'wealth at death of', 'querent', 'wealth, concealed', 'wives dowry', 'wills', 'worries', 'worries, mental', 'worries, psychological', 'wretched persons', '192']"
9th HOUSE,"['ability to learn', 'ability to understand', 'air travels', 'association with good', 'people', 'attainments', 'auspicious', 'auspicious karma', 'from past lives', 'austerity', 'beliefs', 'benedictions', 'bhagya', 'book publishing', 'books', 'charitable', 'charity', 'children, third one', 'churches', 'college', 'common', 'communications w/', 'spirits', 'contact with gurus', 'destiny', 'devotion to god', 'dharma', 'discipleship', 'distant travels', 'divine worship', 'divine worships', 'dreams', 'east', 'education, higher', 'efforts,', 'encouragement to9th HOUSE', 'elders, devotion to', 'encouragement to', 'ones efforts', 'enemies of brethren', 'enlightened souls,', 'contact with', 'faith', 'father (south India)', 'father', 'fathers of servants', 'female arteries', 'fiery', 'foreign travel,', 'foresight', 'forethought', 'fortune', 'friend of friends', 'friends of elder', 'brothers', 'fruits of success', 'generosity', 'gods grace', 'good conduct', 'grandchildren', 'guru', 'guru, contact with', 'higher education', 'hips', 'insight into natural', 'forces', 'institutions, religious', 'intuition', 'long journeys', 'jupiter', 'knees', 'lakeslaw', 'learning, ability to', 'learnings', 'legal arbitration', 'long journeys', 'luck', 'malefic', 'masculine', 'meditation', 'natural forces, insight', 'into', 'nourishment', 'ones approach to life', 'forethoughts', 'past karmas', 'paternal wealth', 'philosophy', 'pilgrimage', 'pilgrimages', 'places of worship', 'poorvapunya', 'positive', 'powers of intuition', 'preceptor', 'previous karmas', 'private enemies of', 'kings or govt,', 'providential help', 'prosperity', 'publishing, books', 'purity of mind', 'religion', 'religious', 'religious institutions', 'religious persons,', 'association with', '193', 'religious places', 'reverence and', 'devotion', 'sacrifices', 'Sagittarius', 'sambanda gyan', 'science', 'sea voyages', 'semifruitful', 'short travel of', 'spouse/partners', 'sickness of mother', 'special benediction', 'spiritual growthspiritual life', 'splendor', 'spouse, their short', 'travel', 'tanks', 'teaching', 'temples', 'thighs', 'third child', 'understand, ability to', 'unexpected help', 'vedic sacrifice', 'virtuous deeds,', 'visionsvoyage', 'voyages', 'water reservoirs', 'wells', 'wifes o r enemies', 'brothers', 'wisdom', 'worship', 'worship places', 'writings', 'younger brothers', 'wife', 'younger sisters', 'husband', '194']"
10th HOUSE,"['10th HOUSE', 'achievement in', 'material world', 'administrative jobs', 'adopted son', 'advancement', 'ambition', 'appointments in work', 'athletics', 'authority', 'bones', 'brother, elder, losses', 'to', 'business.', 'celestial phenomena', 'children of servants', 'command', 'commerce', 'conveyance of', 'partners', 'conveyance of spouse', 'credit', 'credit for good works', 'danger to younger', 'brother', 'danger to younger', 'sister', 'death of younger', 'sibling', 'debts of children', 'dignity', 'draws us toward our', 'future', 'elections, public', 'enemies of', 'eminenceenemies during', 'elections', 'enemies during', 'litigations', 'enemies, private,', 'friends of', 'essential things', 'extemalization of th', 'fourth', 'extemalization', 'process', 'fame', 'father', 'fourth houses', 'extemalization', 'friends of private', 'enemies', 'friends, losses to', 'friends, private', 'enemies of', 'future, draws us', 'towards', 'gam', 'glory', 'government', 'government service', 'governmental', 'activities', 'hairs', 'health', 'honor', 'honor for good', 'works', 'horse riding', 'jointsjudgment.', 'judges', 'karma of the soul', 'karma, present', 'incarnation', 'knee joints', 'last rites to parents', 'leadership', 'litigations, public', 'enemies of', 'livelihood', 'lord of the moon', 'loss to elder brother', 'losses to dear friends', 'mantras and hymns,', 'meritorious deeds', 'mid heaven', 'money of religious', 'person', 'moral responsibilities', 'mothers opponents', 'nails', 'occupation', 'ornaments', 'permanency in work', 'permanent position', 'petalae', 'popital fossa', 'popularity', 'position', 'position, permanence', 'present karma', 'private enemies of', 'friends', 'profession', '195', 'profits respect souls draw towards', 'promotion responsibilities goal', 'public enemies in riding a horse speculations of', 'litigations royal patronage servants', 'public esteem sacrifice spouse of the moon', 'quality of leadership sanyas status', 'rainfall secret attacks on elder success', 'rank brother success or not', 'religion of the self acquisitions talisman', 'servants service tenth-sun', 'religious functions sibling, younger, trade', 'religious merits death of trade preferment', 'renown skeleton in general virtue', 'renunciation of world sky worldly activities', 'reputation souls karma', '196']"
