PartitionKey,RowKey,Outcome,MarriageDate,ChildrenData,DivorceData,DivorceDate,MalePersonId,FemalePersonId,Embeddings,KutaScore,MarriageDuration
Arranged-06514dbdb9,,Happiness,05/20/1925,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""1"",""childrenHealth"":""average"",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""low""}}",01/01/0001,MaurizioGucci1948,GrimaldaGucci1903,"[3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",10,0
Arranged-0ad01a422f,,Happiness,06/18/1913,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""1"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,AlbertSchweitzer1875,HuguetteDuflos1887,"[0.0,6.0,8.0,7.0,0.0,0.0,0.0,0.0]",60,0
Arranged-26b63a38ee,,Happiness,03/15/1910,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""2"",""diedChildrenCount"":""1"",""childrenHealth"":""average"",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":"""",""dataCredibility"":""low""}}",01/01/0001,FernandLedoux1897,Jean1888,"[3.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0]",40,0
Arranged-4480bfff58,,Happiness,10/19/1806,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""5"",""diedChildrenCount"":""3"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,JohannWolfgangvonGoethe1749,LuiseKarolineBrachmann1777,"[0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0]",20,0
Arranged-5b68212730,,Happiness,07/12/1916,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,EugenioMontale1896,GianninaArangi1891,"[3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0]",20,0
Arranged-5ee05fec48,,Happiness,12/30/1879,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""0"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""low""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,GustaveCaillebotte1848,Camille1853,"[0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0]",10,0
Arranged-6e947716fc,,Happiness,01/13/1899,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""3"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""medium""}}",01/01/0001,HenriMatisse1869,MarieNoel1883,"[0.0,0.0,8.0,7.0,0.0,0.0,1.0,0.0]",45,0
Arranged-7e109102ef,,Happiness,07/01/1897,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""3"",""diedChildrenCount"":""1"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,EmilFischer1852,HeleneVoigt1875,"[3.0,6.0,8.0,7.0,0.0,0.0,1.0,0.0]",70,0
Arranged-807786fcd5,,Struggle,01/13/1898,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""3"",""diedChildrenCount"":""0"",""childrenHealth"":"""",""dataCredibility"":""medium""}}","{""divorce"":{""reason"":""adultery"",""dataCredibility"":""high""}}",10/09/1939,HenriMatisse1869,CecileLauber1887,"[3.0,0.0,0.0,7.0,5.0,0.0,1.0,0.0]",45,41.73305954825462
Arranged-9cedd1574d,,Struggle,12/28/1914,"{""children"":{""adoptedCount"":""0"",""biologicalCount"":""5"",""diedChildrenCount"":""1"",""childrenHealth"":"""",""dataCredibility"":""high""}}","{""divorce"":{""reason"":""none"",""dataCredibility"":""high""}}",01/01/0001,BenitoMussolini1883,GinaMussolini1916,"[3.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0]",35,0
