PartitionKey,RowKey,Reply,Tags
BadQuestion,"Anisha and Regendra's daughter born on oct 20th,2021","If you want to check another horoscope, click add new Person button and fill the form. Don't just give me the dates here and expect me to make predictions on the fly. I'm not some super AI Bot that can do everthing. Keep your questions simple and to the point friend 😁",invalid
BadQuestion,Best day to do C-section next week,"To predict future events use the special ""Good Time Finder"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",muhurtha
BadQuestion,Can you tell me the year or month,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,GARAV KUMAR  20,This is not a question but a statement. Use your brain please friend 😉. Ask a proper question.,invalid
BadQuestion,I am currently unemployed looking for a job,This is not a question but a statement. Use your brain please friend 😉. Ask a proper question.,invalid
BadQuestion,"I am currently unemployed, I would like to know when will i able to find a job","To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,I am female,This is not a question but a statement. Use your brain please friend 😉. Ask a proper question.,invalid
BadQuestion,"I am going to apply for Master degree in foreign country, Will I pass the application","To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,My current situation ,This is not a question but a statement. Use your brain please friend 😉. Ask a proper question.,invalid
BadQuestion,Show houses,"I'm here to intepret predictions regarding a horoscope. Not to reprint the same technical astro info, that's already shown in Horoscope page (scroll down after calculate it's not that hard) 😁. ",invalid
BadQuestion,Till what time i will get job and business is good in Astrology and numerology online makeing business,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,What about Monday June 17,"To predict future events use the special ""Good Time Finder"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",muhurtha
BadQuestion,What age will I get married,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,What death date,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,When  I able to get a job,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,When Will I get foreign education,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,When exactly in the future,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,When is the long distance travel or immigration likely to happen in the future,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,how is today,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,is next Monday 17th June good for new baby arrival ,"To predict future events use the special ""Good Time Finder"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",muhurtha
BadQuestion,may i know the exact year when,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,my moon is in the 9th house,This is not a question but a statement. Use your brain please friend 😉. Ask a proper question.,invalid
BadQuestion,next week ,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,no,This is not a question but a statement. Use your brain please friend 😉. Ask a proper question.,invalid
BadQuestion,no i m born on 00:00 30,"If you want to change the birth time, click EDIT button next to your Name and change there. Don't just give me the dates here and expect me to do it. I'm not some super AI Bot that can do everthing. Keep your questions simple and related to understaning your horoscope text 😁",invalid
BadQuestion,show my lagna chart,"I'm here to intepret predictions regarding a horoscope. Not to reprint the same technical astro info, that's already shown in Horoscope page (scroll down after calculate it's not that hard) 😁. ",invalid
BadQuestion,what is my zodiaC ,"I'm here to intepret predictions regarding a horoscope. Not to reprint the same technical astro info, that's already shown in Horoscope page (scroll down after calculate) 😁. ",invalid
BadQuestion,what will gonna happen to me before july 2024,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,when exact year i will be immigration or long travel,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,when i should be careful about my married life ,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,when i will have alot of money in my life,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,when is the good time to have a child,"To predict future events use the special ""Good Time Finder"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",muhurtha
BadQuestion,when will i get a child,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,when will i have a lot of money in life ,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,when will i have alot of money ,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,which age i meet my first girlfriend,"To predict future events use the special ""Life Predictor"" tool. Not me! 😁 My job is to answer question related to predictions about your general horoscope.",lifePredictor
BadQuestion,yes,This is not a question but a statement. Use your brain please friend 😉. Ask a proper question.,invalid
