PartitionKey,RowKey,Longitude,Latitude
"'s-Graveland, Wijdemeren, Nederland","'s-graveland, nl, netherlands",5.122,52.226
"'s-Hertogenbosch, Nederland","'s-hertogenbosch, noord-brabant, nederland",5.304,51.69
"'s-Hertogenbosch, Netherlands","'s-hertogenbosch, nl, netherlands",5.304,51.69
"01010Adana,, Türkiye","adana, seyhan, adana, akdeniz bölgesi, 01010, türkiye",35.327,36.988
"020000 Atbasar, Kazakhstan","атбасар, атбасар ауданы, ақмола облысы, 020400, қазақстан",68.364,51.82
"020000 Shchuchinsk, Kazakhstan",szczuczinsk szczuczinsk obwód akmolski,70.189,52.935
"02625 Bautzen, Germany","bautzen - budyšin, saxony, 02625, germany",14.428,51.181
"03300Afyonkarahisar Merkez,, Türkiye","bolvadin, afyonkarahisar, aegean region, 03300, turkey",31.091,38.82
"034 06 Ružomberok, Slovensko",+06:00,19.256,49.092
"05100 Alor Setar, Kedah, Malaysia","alor setar, kota setar, kedah, 05100, malaysia",100.374,6.134
"06012 Città di Castello, Province of Perugia, Italy","06012cittàdicastello,provinceofperugia,italy",12.232,43.458
"06012 Città di Castello, Province of Perugia, Italy","читта-ди-кастелло, умбрия, италия",12.24,43.464
"06060, Ciudad de México, Ciudad de México, México","ciudad de méxico, cuauhtémoc, ciudad de méxico, 06060, méxico",-99.134,19.432
"06420Ankara,, Türkiye","ankara, çankaya, ankara, central anatolia region, 06420, turkey",32.856,39.918
"06420Ankara,, Türkiye","ankara, çankaya, ankara, iç anadolu bölgesi, 06420, türkiye",32.856,39.918
"070000 Oskemen, Kazakhstan","070000 öskemen, kasachstan",82.602,49.975
"070000 Zhezkent, Kazakhstan","жезкент, жезкент кенттік әкімдігі, бородулиха ауданы, абай облысы, қазақстан",81.395,50.92
"08001 Barcelona, España","barcelona, barcelonés, barcelona, cataluña, 08001, españa",2.167,41.381
"09-200 Sierpc (Borkowo Kościelne), Polska","sierpc, powiat sierpecki, województwo mazowieckie, 09-200, polska",19.67,52.853
"09-500 Gostynin (Gorzewo), Polska","gostynin, powiat gostyniński, województwo mazowieckie, 09-500, polska",19.461,52.432
"09037 San Gavino Monreale, Italia","san gavino monreale, sud sardegna, sardegna, 09037, italia",8.793,39.552
"09110Aydin,, Türkiye","aydin, efeler, aydın, aegean region, 09110, turkey",28.006,37.794
